distance_traveled,miscellaneous_fees
4.18,13.5
1.48,13.5
4.15,6
3.22,5.625
3.98,2.25
9.01,26.625
1,5.9
3.03,6
1.13,6
10.81,2.25
3.98,6
0.89,9.75
2.29,34.125
2.48,29.95
3.11,26.625
4.04,6
10.94,9.75
4.33,5.95
3.93,30.7
17.01,26.2
14.81,9.25
1.79,13.7
28.97,88.575
7.11,29.875
1.93,10.2
1.29,13.5
5.89,34.45
7.02,26.875
8,33.7
3.7,13.5
14.32,26.625
1.09,6
27.65,9.75
1.54,13.05
2.8,6.2
0.21,2.35
3.22,34.125
1.83,6.175
18.52,26.625
3.86,30.375
0.89,5.7
6.44,26.625
7.26,9.75
2.41,13.5
1.53,6
5.13,26.625
1.72,6
1.71,6
0.9,5.95
1.96,6
2.74,5.875
3.54,13.7
7.76,34.225
4.35,26.75
3.49,6
1.08,6
4.67,34.075
3.04,6
5.66,26.625
9.5,26.875
1.75,6.2
3.27,5.55
1.09,2.25
4.73,30.45
6.42,26.625
4.28,2.25
1.96,2.2
5.33,26.7
7.24,13.5
7.56,9.25
0.87,5.875
1.13,5.625
2.22,6
1.82,26.45
10.88,22.45
3.22,13.5
4.36,26.2
2.24,6
0.87,6
2.67,5.7
8.61,34.375
1.37,9.95
3.27,5.95
2.46,9.95
5.62,13.5
4.02,6
1.3,13.45
2,6
1.63,13.5
0.92,6
2.12,6
1.32,13.2
1.46,10.05
15.51,9.75
5.42,9.75
2.74,6.35
1.48,6
2.41,6
5.86,30.175
3.86,6.275
6.24,6
7.58,33.725
19.94,58.875
0.14,6
1.79,6
11.91,55
3.11,13.5
11.41,26.7
5.04,34.575
3.85,9.75
3.01,13.5
12.55,54.65
1.77,6.45
4.18,6
3.6,6
2.9,26.875
0.97,6
0.92,5.525
4.33,5.95
5.07,30.375
3.41,5.5
2.3,9.75
4.15,6
4.1,6
2.09,6.45
2.16,6
2.33,6
1.29,6.375
3.28,6
12.96,6
4.1,26.7
0.97,6
0.89,6.2
9.12,9.25
11.01,13.5
5.42,5.5
1.82,13.85
1.22,6
2.7,5.95
2.57,6.375
9.29,13.75
6.6,13.5
1.83,5.925
2.38,6
8.21,34.375
14.58,2.7
1.59,6.45
16.43,28.5
4.65,6.1
2.54,10.25
9.61,34.125
5.46,5.7
1.69,9.75
3.22,6
3.15,13.5
2.62,5.95
0.97,6
6.6,9.75
8.47,34.125
3.35,5.95
23.5,5.875
2.57,6
8.38,13.5
0.06,2.25
0.64,9.7
11.94,26.775
2.93,6
16.79,13.7
2.22,6
1.96,2.7
1.75,14
20.15,6
4.09,34.525
7.39,9.45
10.91,26.325
4.33,26.7
4.83,26.625
15.82,33.95
2.24,13.5
1.19,5.875
4.1,29.95
7.4,13.5
2.12,6
2.2,13.525
10.65,26.525
11.52,58.875
4.02,13
2.85,26.2
3.85,9.25
2.57,6
1.53,6
7.4,13.5
1.98,9.95
4.28,5.5
3.86,6
4.02,6.5
7.35,26.525
2.12,27.075
3.51,2.7
8.67,9.75
0.19,13.5
3.48,6.45
7.89,6.125
1.51,6.2
1.24,6.45
17.49,20.825
6.12,26.125
4.38,6
4.22,6
3.75,10
1.21,6
2.74,6
7.31,27.125
8.61,6.25
1.61,5.7
5.94,13.5
2.01,9.75
3.38,6
4.31,13.2
2.69,13.5
8.9,26.125
1.71,5.95
2.35,34.125
3.93,26.625
4.15,13.3
5.79,27.125
2.09,5.625
0.92,6
1.29,13.5
2.24,30.45
5.1,6
8.56,26.95
4.49,26.7
3.03,6
3.83,5.675
6.05,26.625
0.68,6
2.77,5.7
3.69,26.675
1.79,9.75
10.48,9.95
6.52,30.375
4.76,13.4
1.35,6
11.8,9.5
1.96,13.5
1.93,26.45
2.74,13.375
3.27,5.95
20.52,34.125
0.84,6
9.88,29.95
4.49,2.25
2.83,26.625
38.64,55.125
2.3,6.45
1.45,6
2.9,0.5
